"admin","Administrador",
"adminMKL","Meikle",
"adminGorga","Gorga","gorga@gorga.com"
"info@abate.com.uy","Abate","info@abate.com.uy"
"campiglia","Campiglia","inmobiliaria@campiglia.com.uy"
"ricardogorga","Ricardo Gorga","info@ricardogorga.com.uy"
"dangelo","Dangelo","info@dangelopropiedades.com"
"omariza","Omar Iza","info@iza.com.uy"
"garciapropiedades@adinet.com.uy","Garcia Propiedades","garciapropiedades@adinet.com.uy"
"artigasinmobiliaria@gmail.com","Inmobiliaria Artigas","	 artigasinmobiliaria@gmail.com"
"aquitecho@aquitecho.com.uy","Aquí-Techo Propiedades","aquitecho@aquitecho.com.uy"
"marchesano","Inmobiliaria Marchesano","info@inmobiliariamarchesano.com.uy"
"casacentral@sigaloavarela.com","Varela Inmobiliaria SRL","casacentral@sigaloavarela.com"
"americana.inmobiliaria@gmail.com","Inmobiliaria Americana","americana.inmobiliaria@gmail.com"
"ninmercedes@foti.com.uy","Foti","ninmercedes@foti.com.uy"
"locaciones","Chacras",
"pocitos@foti.com.uy","FOTI Pocitos",
"info@faleropropiedades.com","Falero","info@faleropropiedades.com"
"rdzangela","Lado Este Inmobiliaria",
"nana","Nana Lavagna",
"inmobiliariacalipso@hotmail.com","Calipso","inmobiliariacalipso@hotmail.com"
"gallito@prop.com.uy","PROP","info@prop.com.uy"
"Gallito","Gallito","maca@locomotionco.com"
"leonpeyroupropiedades@gmail.com","Leon Peyrou Propiedades","leonpeyrou.propiedades@gmail.com"
"Info@gysbienesraices.com","G&S Bienes Raíces","Info@gysbienesraices.com"
"ventas@camposdelsur.com.uy","Diego Perdomo Negocios Inmobiliarios","	 ventas@camposdelsur.com.uy"
"info@arkontes.com","ARKONTES","info@arkontes.com"
"info@casatroja.com","CASATROJA NEGOCIOS INMOBILIARIOS","info@casatroja.com"
"spinmuebles@hotmail.com","SP Inmuebles ","spinmuebles@hotmail.com"
"infouy@toribioachaval.com","Toribio",
"danielz@locomotionco.com","Administrador","maca@locomotionco.com"
"info@carolinanunez.com","CAROLINA NUÑEZ","info@carolinanunez.com"
"andres","Andres",
"estudiovignoli@gmail.com","VIGNOLI servicios inmobiliarios","estudiovignoli@gmail.com"
"murar","MURAR","jpmurar@adinet.com.uy"
"helguero","Helguero","martin@helguero.com.uy"
"sergiogar","MVD Propiedades","mvdpropiedades@hotmail.com"
"dubaipropiedades@gmail.com","DUBAI PROPIEDADES","dubaipropiedades@gmail.com"
"arquibrokers@gmail.com ","ARQUIBROKERS","arquibrokers@gmail.com "
"aleladeira@inmobiliariagolf.com ","Inmobiliaria GOLF"," aleladeira@inmobiliariagolf.com "
"mbendelman@gmail.com","Inmoben Propiedades","mbendelman@gmail.com"
"info@alda.com.uy","ALDA Propiedades","	 info@alda.com.uy"
"carlaparodi@parodi.com.uy","PARODI INMOBILIARIA ","carlaparodi@parodi.com.uy"
